"Year","Month","Day","Venue","Place","Country","LatLng","Date"
1960,"Oct",23,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-10-23
1960,"Oct",24,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-10-24
1960,"Oct",25,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-10-25
1960,"Oct",26,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-10-26
1960,"Oct",27,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-10-27
1960,"Oct",28,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-10-28
1960,"Oct",29,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-10-29
1960,"Oct",30,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-10-30
1960,"Oct",31,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-10-31
1960,"Nov",1,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-01
1960,"Nov",2,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-02
1960,"Nov",3,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-03
1960,"Nov",4,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-04
1960,"Nov",5,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-05
1960,"Nov",6,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-06
1960,"Nov",7,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-07
1960,"Nov",8,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-08
1960,"Nov",9,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-09
1960,"Nov",10,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-10
1960,"Nov",11,"Kaiserkeller","Hamburg","Germany","53.5512123:9.9579496",1960-11-11
